fecha,tmed,region
2011-04-02,18.6,CUY
2011-04-02,24.5,NOA
2011-04-02,23.65,NEA
2011-04-02,15.25,COM
2011-04-02,22.25,GBA
2011-04-02,20.9,CEN
2011-04-02,15.9,BAS
2011-04-02,13.2,PAT
2011-04-02,22.15,LIT
2011-04-03,18.2,COM
2011-04-03,23.5,LIT
2011-04-03,24.45,CEN
2011-04-03,15.6,BAS
2011-04-03,23.05,NEA
2011-04-03,22.1,GBA
2011-04-03,20.1,CUY
2011-04-03,24.7,NOA
2011-04-03,11.9,PAT
2011-04-04,20.6,CUY
2011-04-04,24.15,NOA
2011-04-04,23.65,NEA
2011-04-04,17.1,COM
2011-04-04,17.1,GBA
2011-04-04,19.15,CEN
2011-04-04,13.4,BAS
2011-04-04,13.2,PAT
2011-04-04,18.8,LIT
2011-04-05,20.6,CUY
2011-04-05,24.5,NOA
2011-04-05,23.35,NEA
2011-04-05,21.2,COM
2011-04-05,18.55,GBA
2011-04-05,21.8,CEN
2011-04-05,16.3,BAS
2011-04-05,19.85,PAT
2011-04-05,18.55,LIT
2011-04-06,21.75,CUY
2011-04-06,24.1,NOA
2011-04-06,22.4,NEA
2011-04-06,19.0,COM
2011-04-06,18.35,GBA
2011-04-06,23.0,CEN
2011-04-06,18.25,BAS
2011-04-06,20.2,PAT
2011-04-06,19.85,LIT
2011-04-07,22.75,LIT
2011-04-07,24.55,CEN
2011-04-07,18.9,BAS
2011-04-07,14.45,PAT
2011-04-07,18.3,COM
2011-04-07,22.75,CUY
2011-04-07,25.15,NOA
2011-04-07,21.95,NEA
2011-04-07,21.4,GBA
2011-04-08,21.1,CUY
2011-04-08,23.3,NOA
2011-04-08,22.7,NEA
2011-04-08,17.15,COM
2011-04-08,18.65,GBA
2011-04-08,20.0,CEN
2011-04-08,15.6,BAS
2011-04-08,19.7,PAT
2011-04-08,18.35,LIT
2011-04-09,21.7,CUY
2011-04-09,22.15,NOA
2011-04-09,19.1,NEA
2011-04-09,20.1,COM
2011-04-09,16.95,GBA
2011-04-09,18.3,CEN
2011-04-09,15.75,BAS
2011-04-09,24.85,PAT
2011-04-09,16.05,LIT
2011-04-10,19.95,CUY
2011-04-10,20.5,NOA
2011-04-10,19.6,NEA
2011-04-10,20.45,COM
2011-04-10,20.8,GBA
2011-04-10,17.15,CEN
2011-04-10,17.75,BAS
2011-04-10,20.0,PAT
2011-04-10,18.05,LIT
2011-04-11,19.5,CUY
2011-04-11,20.45,NOA
2011-04-11,21.0,NEA
2011-04-11,20.65,COM
2011-04-11,21.3,GBA
2011-04-11,20.7,CEN
2011-04-11,22.85,BAS
2011-04-11,17.1,PAT
2011-04-11,20.05,LIT
2011-04-12,22.95,GBA
2011-04-12,19.65,CUY
2011-04-12,21.05,NOA
2011-04-12,21.55,NEA
2011-04-12,10.95,PAT
2011-04-12,20.15,LIT
2011-04-12,21.05,CEN
2011-04-12,16.2,BAS
2011-04-12,14.8,COM
2011-04-13,23.6,CUY
2011-04-13,22.25,NOA
2011-04-13,23.75,NEA
2011-04-13,13.9,COM
2011-04-13,23.75,GBA
2011-04-13,23.05,CEN
2011-04-13,17.5,BAS
2011-04-13,8.4,PAT
2011-04-13,21.8,LIT
2011-04-14,20.5,CUY
2011-04-14,20.5,NOA
2011-04-14,28.2,NEA
2011-04-14,11.05,COM
2011-04-14,19.55,GBA
2011-04-14,21.35,CEN
2011-04-14,11.65,BAS
2011-04-14,7.1,PAT
2011-04-14,19.2,LIT
2011-04-15,15.35,CUY
2011-04-15,16.5,NOA
2011-04-15,23.8,NEA
2011-04-15,10.55,COM
2011-04-15,16.65,GBA
2011-04-15,16.2,CEN
2011-04-15,14.6,BAS
2011-04-15,8.95,PAT
2011-04-15,14.85,LIT
2011-04-16,14.15,LIT
2011-04-16,14.95,CEN
2011-04-16,15.7,BAS
2011-04-16,9.8,PAT
2011-04-16,16.1,GBA
2011-04-16,14.7,CUY
2011-04-16,15.15,NOA
2011-04-16,23.4,NEA
2011-04-16,8.4,COM
2011-04-17,14.9,CUY
2011-04-17,17.45,NOA
2011-04-17,23.7,NEA
2011-04-17,10.15,COM
2011-04-17,17.5,GBA
2011-04-17,16.95,CEN
2011-04-17,12.1,BAS
2011-04-17,12.95,PAT
2011-04-17,17.4,LIT
2011-04-18,15.4,CUY
2011-04-18,18.15,NOA
2011-04-18,19.0,NEA
2011-04-18,14.0,COM
2011-04-18,15.75,GBA
2011-04-18,15.95,CEN
2011-04-18,13.65,BAS
2011-04-18,17.95,PAT
2011-04-18,14.0,LIT
2011-04-19,16.35,CUY
2011-04-19,15.7,NOA
2011-04-19,19.95,NEA
2011-04-19,13.95,COM
2011-04-19,16.7,GBA
2011-04-19,16.9,CEN
2011-04-19,17.6,BAS
2011-04-19,16.7,PAT
2011-04-19,15.4,LIT
2011-04-20,16.3,CUY
2011-04-20,19.4,NOA
2011-04-20,24.5,NEA
2011-04-20,17.1,COM
2011-04-20,17.15,GBA
2011-04-20,19.9,CEN
2011-04-20,15.65,BAS
2011-04-20,11.65,PAT
2011-04-20,17.1,LIT
2011-04-21,18.35,CUY
2011-04-21,20.5,NOA
2011-04-21,21.05,NEA
2011-04-21,15.35,COM
2011-04-21,14.6,GBA
2011-04-21,19.7,CEN
2011-04-21,17.0,BAS
2011-04-21,16.45,PAT
2011-04-21,16.4,LIT
2011-04-22,21.75,CUY
2011-04-22,20.15,NOA
2011-04-22,27.15,NEA
2011-04-22,16.45,COM
2011-04-22,18.95,GBA
2011-04-22,21.05,CEN
2011-04-22,14.05,BAS
2011-04-22,14.0,PAT
2011-04-22,20.75,LIT
2011-04-23,13.5,CUY
2011-04-23,18.15,NOA
2011-04-23,23.05,NEA
2011-04-23,11.85,COM
2011-04-23,15.4,GBA
2011-04-23,15.4,CEN
2011-04-23,12.65,BAS
2011-04-23,14.15,PAT
2011-04-23,14.1,LIT
2011-04-24,15.45,CUY
2011-04-24,17.7,NOA
2011-04-24,17.15,NEA
2011-04-24,15.15,COM
2011-04-24,16.9,GBA
2011-04-24,17.45,CEN
2011-04-24,17.85,BAS
2011-04-24,12.5,PAT
2011-04-24,15.15,LIT
2011-04-25,17.35,CUY
2011-04-25,19.0,NOA
2011-04-25,16.35,NEA
2011-04-25,14.8,COM
2011-04-25,17.3,GBA
2011-04-25,18.1,CEN
2011-04-25,17.1,BAS
2011-04-25,14.95,PAT
2011-04-25,17.05,LIT
2011-04-26,16.5,CUY
2011-04-26,21.95,NOA
2011-04-26,19.75,NEA
2011-04-26,13.5,COM
2011-04-26,18.1,GBA
2011-04-26,20.7,CEN
2011-04-26,20.1,BAS
2011-04-26,19.45,PAT
2011-04-26,18.6,LIT
2011-04-27,15.95,COM
2011-04-27,20.0,LIT
2011-04-27,20.95,CEN
2011-04-27,21.5,BAS
2011-04-27,21.35,NEA
2011-04-27,20.5,GBA
2011-04-27,18.0,CUY
2011-04-27,22.2,NOA
2011-04-27,14.45,PAT
2011-04-28,13.55,CUY
2011-04-28,22.65,NOA
2011-04-28,21.5,NEA
2011-04-28,13.3,COM
2011-04-28,21.85,GBA
2011-04-28,22.95,CEN
2011-04-28,15.6,BAS
2011-04-28,11.9,PAT
2011-04-28,20.3,LIT
2011-04-29,11.2,CUY
2011-04-29,19.0,NOA
2011-04-29,21.0,NEA
2011-04-29,8.4,COM
2011-04-29,18.25,GBA
2011-04-29,15.3,CEN
2011-04-29,12.15,BAS
2011-04-29,11.35,PAT
2011-04-29,17.45,LIT
2011-04-30,11.7,CUY
2011-04-30,14.55,NOA
2011-04-30,18.2,NEA
2011-04-30,8.4,COM
2011-04-30,17.95,GBA
2011-04-30,13.8,CEN
2011-04-30,12.25,BAS
2011-04-30,9.8,PAT
2011-04-30,12.55,LIT
2011-05-01,9.2,BAS
2011-05-01,11.35,PAT
2011-05-01,12.85,GBA
2011-05-01,10.4,CUY
2011-05-01,11.6,CEN
2011-05-01,13.65,NEA
2011-05-01,6.6,COM
2011-05-01,12.2,LIT
2011-05-01,15.15,NOA
2011-05-02,8.7,CUY
2011-05-02,12.7,NOA
2011-05-02,12.35,NEA
2011-05-02,7.2,COM
2011-05-02,11.1,GBA
2011-05-02,8.7,CEN
2011-05-02,9.35,BAS
2011-05-02,11.65,PAT
2011-05-02,8.9,LIT
2011-05-03,10.2,CUY
2011-05-03,13.15,NOA
2011-05-03,13.6,NEA
2011-05-03,8.25,COM
2011-05-03,11.7,GBA
2011-05-03,10.2,CEN
2011-05-03,11.75,BAS
2011-05-03,14.45,PAT
2011-05-03,10.45,LIT
